Rang,Athlète,Club,Total,CaP1,#1,Vélo,Vélo Cum.,#2,CaP2,U23,A.S.,Event,Race,Gap to 1st Total (s),Gap to 1st CaP1 (s),Gap to 1st Vélo (s),Gap to 1st Vélo Cum. (s),Gap to 1st CaP2 (s),Score Total,Score CaP1,Score Vélo,Score Vélo Cum.,Score CaP2,Gap to 1st CaP1 (s/km),Gap to 1st Vélo (s/km),Gap to 1st CaP2 (s/km),Gap to 1st Total (s/km),year,T1,T2
30.,SOLENE MARNONI,US PALAISEAU TRIATHLON,0 days 01:04:00,0 days 00:18:21,00:00:40,0 days 00:34:18,0 days 00:53:18,00:00:25,0 days 00:10:17,U23,,parthenay,D1F,201.0,79.0,68.0,121.0,85.0,9476.5625,9282.470481380564,9669.58211856171,9621.638524077549,8622.366288492707,15.8,3.4,34.0,7.31,2023,,
31.,REBECCA LUCAS,GRAVELINES TRIATHLON,0 days 01:04:48,0 days 00:18:30,00:00:44,0 days 00:35:07,0 days 00:54:19,00:00:33,0 days 00:09:56,U23,,parthenay,D1F,249.0,88.0,117.0,182.0,64.0,9359.567901234568,9207.207207207208,9444.70811580446,9441.546486652347,8926.174496644297,17.6,5.85,25.6,9.05,2023,,
32.,CELINE JAIN,US PALAISEAU TRIATHLON,0 days 01:04:51,0 days 00:18:12,00:00:47,0 days 00:35:20,0 days 00:54:18,00:00:34,0 days 00:09:59,,,parthenay,D1F,252.0,70.0,130.0,181.0,67.0,9352.351580570547,9358.97435897436,9386.792452830188,9444.444444444443,8881.469115191987,14.0,6.5,26.8,9.16,2023,,
33.,JORDAN ELISABETH MATTHEWS,COTE D OPALE TRIATHLON CALAIS SAINT-OMER,0 days 01:04:57,0 days 00:18:08,00:00:45,0 days 00:35:33,0 days 00:54:25,00:00:33,0 days 00:09:59,,,parthenay,D1F,258.0,66.0,143.0,188.0,67.0,9337.952270977676,9393.382352941177,9329.582747304266,9424.196018376722,8881.469115191987,13.2,7.15,26.8,9.38,2023,,
34.,PAULINE NOUZILLE,T.C.G. 79 PARTHENAY,0 days 01:04:59,0 days 00:18:52,00:00:48,0 days 00:34:48,0 days 00:54:27,00:00:28,0 days 00:10:05,,,parthenay,D1F,260.0,110.0,98.0,190.0,73.0,9333.162349320339,9028.26855123675,9530.65134099617,9418.426691153963,8793.388429752065,22.0,4.9,29.2,9.45,2023,,
35.,FLORE MAGNARD,STADE FRANCAIS,0 days 01:05:33,0 days 00:18:24,00:00:45,0 days 00:36:28,0 days 00:55:36,00:00:30,0 days 00:09:29,,,parthenay,D1F,294.0,82.0,198.0,259.0,37.0,9252.479023646072,9257.246376811594,9095.063985374773,9223.621103117506,9349.736379613358,16.4,9.9,14.8,10.69,2023,,
36.,ELOISE BEAUVOIS,GRAVELINES TRIATHLON,0 days 01:05:37,0 days 00:18:11,00:00:49,0 days 00:36:35,0 days 00:55:34,00:00:33,0 days 00:09:30,U23,,parthenay,D1F,298.0,69.0,205.0,257.0,38.0,9243.078486156972,9367.55270394134,9066.059225512528,9229.154169166168,9333.333333333334,13.8,10.25,15.2,10.84,2023,,
37.,ELODIE WANHERDRICK,PONTIVY TRIATHLON,0 days 01:05:40,0 days 00:18:04,00:00:45,0 days 00:36:50,0 days 00:55:38,00:00:28,0 days 00:09:35,,,parthenay,D1F,301.0,62.0,220.0,261.0,43.0,9236.040609137057,9428.044280442804,9004.524886877829,9218.094667465548,9252.173913043478,12.4,11.0,17.2,10.95,2023,,
38.,VALENTINE JADEAU SIBILEAU,T.C.G. 79 PARTHENAY,0 days 01:05:41,0 days 00:18:39,00:00:42,0 days 00:35:48,0 days 00:55:08,00:00:26,0 days 00:10:07,,,parthenay,D1F,302.0,97.0,158.0,231.0,75.0,9233.697031210353,9133.154602323504,9264.432029795158,9301.692865779927,8764.415156507413,19.4,7.9,30.0,10.98,2023,,
39.,AGATHE MACREL,MSA TRIATHLON,0 days 01:05:42,0 days 00:18:23,00:00:42,0 days 00:36:33,0 days 00:55:38,00:00:26,0 days 00:09:39,,,parthenay,D1F,303.0,81.0,203.0,261.0,47.0,9231.354642313547,9265.639165911152,9074.327405380756,9218.094667465548,9188.255613126079,16.2,10.15,18.8,11.02,2023,,
