Rang,Athlète,Club,Total,CaP1,#1,Vélo,Vélo Cum.,#2,CaP2,U23,A.S.,Event,Race,Gap to 1st Total (s),Gap to 1st CaP1 (s),Gap to 1st Vélo (s),Gap to 1st Vélo Cum. (s),Gap to 1st CaP2 (s),Score Total,Score CaP1,Score Vélo,Score Vélo Cum.,Score CaP2,Gap to 1st CaP1 (s/km),Gap to 1st Vélo (s/km),Gap to 1st CaP2 (s/km),Gap to 1st Total (s/km),year,T1,T2
63.,FLORIMOND NAULLEAU,ASPTT ANGERS,0 days 01:08:01,0 days 00:16:45,00:01:11,0 days 00:39:55,0 days 00:57:50,00:01:09,0 days 00:09:03,,,avallon,D2H,630.0,112.0,480.0,563.0,50.0,8456.260720411663,8885.572139303482,7995.8246346555325,8377.521613832854,9079.189686924494,22.4,24.0,20.0,22.91,2022,,
64.,LOIS FISCHER,VITTEL TRIATHLON,0 days 01:08:46,0 days 00:17:38,00:00:54,0 days 00:39:10,0 days 00:57:41,00:00:59,0 days 00:10:06,,,avallon,D2H,675.0,165.0,435.0,554.0,113.0,8364.032961706253,8440.453686200377,8148.936170212766,8399.306558798035,8135.313531353136,33.0,21.75,45.2,24.55,2022,,
1.,GARANCE BLAUT,STADE FRANCAIS,0 days 01:00:18,0 days 00:15:40,00:00:43,0 days 00:35:24,0 days 00:51:46,,0 days 00:08:32,,,chateauroux,D1F,31.0,3.0,61.0,4.0,27.0,9914.317302377003,9968.08510638298,9712.806026365348,9987.121699935607,9472.65625,0.6,3.05,10.8,1.13,2021,,
2.,ANNE SOPHIE CHAUME,LES TRITONS MELDOIS,0 days 01:02:20,,00:00:51,,0 days 00:54:03,,,,,chateauroux,D1F,153.0,,,141.0,,9590.909090909092,,,9565.217391304348,,,,,5.56,2021,,
3.,MAURINE RICOUR,LES TRITONS MELDOIS,0 days 00:59:55,0 days 00:15:40,00:00:45,0 days 00:35:23,0 days 00:51:47,,0 days 00:08:08,,,chateauroux,D1F,8.0,3.0,60.0,5.0,3.0,9977.746870653686,9968.08510638298,9717.381064531324,9983.907306083038,9938.524590163934,0.6,3.0,1.2,0.29,2021,,
4.,JOSELYN DANIELY BREA ABREU,MONTLUCON TRIATHLON,0 days 00:59:47,0 days 00:15:37,00:00:39,0 days 00:35:28,0 days 00:51:42,,0 days 00:08:05,,,chateauroux,D1F,0.0,0.0,65.0,0.0,0.0,10000.0,10000.0,9694.54887218045,10000.0,10000.0,0.0,3.25,0.0,0.0,2021,,
5.,MARION LE GOFF,PONTIVY TRIATHLON,0 days 00:59:57,0 days 00:15:40,00:00:44,0 days 00:35:24,0 days 00:51:48,,0 days 00:08:09,,,chateauroux,D1F,10.0,3.0,61.0,6.0,4.0,9972.199054767862,9968.08510638298,9712.806026365348,9980.694980694981,9918.200408997955,0.6,3.05,1.6,0.36,2021,,
6.,MAEVA DANOIS,LES TRITONS MELDOIS,0 days 01:05:38,0 days 00:15:52,00:00:56,0 days 00:39:52,0 days 00:56:40,,0 days 00:08:58,,,chateauroux,D1F,351.0,15.0,329.0,298.0,53.0,9108.684611477907,9842.436974789915,8624.581939799331,9123.529411764706,9014.869888475836,3.0,16.45,21.2,12.76,2021,,
7.,LOUISE ROYER,US PALAISEAU TRIATHLON,0 days 00:59:59,0 days 00:15:52,00:00:44,0 days 00:35:13,0 days 00:51:47,,0 days 00:08:12,U23,,chateauroux,D1F,12.0,15.0,50.0,5.0,7.0,9966.657404834677,9842.436974789915,9763.36961665878,9983.907306083038,9857.723577235773,3.0,2.5,2.8,0.44,2021,,
8.,ROZENN PRIGENT,TRI VAL DE GRAY,0 days 01:00:03,0 days 00:15:51,00:00:49,0 days 00:35:08,0 days 00:51:47,,0 days 00:08:16,U23,,chateauroux,D1F,16.0,14.0,45.0,5.0,11.0,9955.592561754094,9852.786540483701,9786.527514231499,9983.907306083038,9778.225806451612,2.8,2.25,4.4,0.58,2021,,
9.,GUADALUPE JAZMIN AGUILAR CORONA,MONTLUCON TRIATHLON,0 days 00:59:57,0 days 00:15:41,00:00:43,0 days 00:35:22,0 days 00:51:45,,0 days 00:08:12,,,chateauroux,D1F,10.0,4.0,59.0,3.0,7.0,9972.199054767862,9957.49202975558,9721.96041470311,9990.338164251209,9857.723577235773,0.8,2.95,2.8,0.36,2021,,
10.,ADELINE LUCAS,RENNES TRIATHLON,0 days 01:00:06,0 days 00:15:58,00:00:43,0 days 00:35:06,0 days 00:51:46,,0 days 00:08:20,U23,,chateauroux,D1F,19.0,21.0,43.0,4.0,15.0,9947.310038824182,9780.793319415448,9795.82146248813,9987.121699935607,9700.0,4.2,2.15,6.0,0.69,2021,,
11.,EMMA WASSER,ASPTT STRASBOURG TRI,0 days 01:00:13,0 days 00:16:08,00:00:40,0 days 00:34:56,0 days 00:51:43,,0 days 00:08:30,U23,,chateauroux,D1F,26.0,31.0,33.0,1.0,25.0,9928.03764184888,9679.752066115701,9842.557251908396,9996.77731227844,9509.803921568628,6.2,1.65,10.0,0.95,2021,,
12.,MARTA ROMANCE,MONTLUCON TRIATHLON,0 days 01:00:16,0 days 00:16:22,00:00:45,0 days 00:34:37,0 days 00:51:43,,0 days 00:08:33,U23,,chateauroux,D1F,29.0,45.0,14.0,1.0,28.0,9919.800884955752,9541.75152749491,9932.595089070775,9996.77731227844,9454.191033138402,9.0,0.7,11.2,1.05,2021,,
13.,SONIA BEJARANO,MONTLUCON TRIATHLON,0 days 00:59:54,0 days 00:15:58,00:00:42,0 days 00:35:04,0 days 00:51:44,,0 days 00:08:10,,,chateauroux,D1F,7.0,21.0,41.0,2.0,5.0,9980.523094045631,9780.793319415448,9805.133079847908,9993.556701030928,9897.959183673469,4.2,2.05,2.0,0.25,2021,,
14.,LINDA DUCROCQ,LYS CALAIS TRIATHLON,0 days 01:02:21,0 days 00:16:09,00:00:43,0 days 00:37:15,0 days 00:54:05,,0 days 00:08:16,,,chateauroux,D1F,154.0,32.0,172.0,143.0,11.0,9588.345362202619,9669.762641898864,9230.425055928412,9559.322033898305,9778.225806451612,6.4,8.6,4.4,5.6,2021,,
15.,MEGHAN BAZIRE,PONTIVY TRIATHLON,0 days 01:00:18,0 days 00:16:38,00:00:46,0 days 00:34:23,0 days 00:51:45,,0 days 00:08:33,U23,,chateauroux,D1F,31.0,61.0,0.0,3.0,28.0,9914.317302377003,9388.77755511022,10000.0,9990.338164251209,9454.191033138402,12.2,0.0,11.2,1.13,2021,,
16.,MARION GAY PAGEON,LES TRITONS MELDOIS,0 days 01:01:01,0 days 00:16:37,00:00:45,0 days 00:34:26,0 days 00:51:47,,0 days 00:09:14,,,chateauroux,D1F,74.0,60.0,3.0,5.0,69.0,9797.869434580716,9398.194583751254,9985.479186834464,9983.907306083038,8754.512635379062,12.0,0.15,27.6,2.69,2021,,
17.,LAURA VALLOIS,TRIATHLON CLUB MONTREUILLOIS,0 days 01:02:32,0 days 00:16:38,00:00:50,0 days 00:36:38,0 days 00:54:05,,0 days 00:08:27,,,chateauroux,D1F,165.0,61.0,135.0,143.0,22.0,9560.234541577825,9388.77755511022,9385.805277525022,9559.322033898305,9566.074950690336,12.2,6.75,8.8,6.0,2021,,
18.,ENORA OGER,RENNES TRIATHLON,0 days 01:00:47,0 days 00:16:38,00:00:46,0 days 00:34:25,0 days 00:51:48,,0 days 00:08:59,,,chateauroux,D1F,60.0,61.0,2.0,6.0,54.0,9835.48121743899,9388.77755511022,9990.314769975786,9980.694980694981,8998.144712430427,12.2,0.1,21.6,2.18,2021,,
19.,CAMILLA ZANINETTI,STADE FRANCAIS,0 days 01:02:26,0 days 00:16:38,00:00:47,0 days 00:36:43,0 days 00:54:07,,0 days 00:08:19,,,chateauroux,D1F,159.0,61.0,140.0,145.0,14.0,9575.547250400426,9388.77755511022,9364.502950522015,9553.433939020635,9719.43887775551,12.2,7.0,5.6,5.78,2021,,
20.,MAYA HEBRARD,LA GRANDE MOTTE TRIATHLON,0 days 01:02:59,0 days 00:16:49,00:00:46,0 days 00:36:30,0 days 00:54:04,,0 days 00:08:55,U23,,chateauroux,D1F,192.0,72.0,127.0,142.0,50.0,9491.929081767665,9286.422200198216,9420.091324200914,9562.268803945746,9065.420560747663,14.4,6.35,20.0,6.98,2021,,
21.,SOPHIE CARON,LYS CALAIS TRIATHLON,0 days 01:02:40,0 days 00:16:39,00:00:47,0 days 00:36:41,0 days 00:54:06,,0 days 00:08:34,,,chateauroux,D1F,173.0,62.0,138.0,144.0,29.0,9539.893617021276,9379.37937937938,9373.012267151295,9556.37707948244,9435.79766536965,12.4,6.9,11.6,6.29,2021,,
22.,CELINE JAIN,US PALAISEAU TRIATHLON,0 days 01:02:44,0 days 00:16:50,00:00:49,0 days 00:36:28,0 days 00:54:06,,0 days 00:08:38,,,chateauroux,D1F,177.0,73.0,125.0,144.0,33.0,9529.755579171095,9277.227722772277,9428.702010968922,9556.37707948244,9362.934362934364,14.6,6.25,13.2,6.44,2021,,
23.,SABRINA MONMARTEAU,ASPTT 36 SPORTS NATURE,0 days 01:02:40,0 days 00:16:39,00:00:44,0 days 00:36:40,0 days 00:54:02,,0 days 00:08:38,,,chateauroux,D1F,173.0,62.0,137.0,140.0,33.0,9539.893617021276,9379.37937937938,9377.272727272728,9568.167797655768,9362.934362934364,12.4,6.85,13.2,6.29,2021,,
24.,CAPUCINE ROLIN,COTE D OPALE TRIATHLON CALAIS SAINT-OMER,0 days 01:04:23,0 days 00:16:50,00:00:43,0 days 00:37:29,0 days 00:55:01,,0 days 00:09:22,,,chateauroux,D1F,276.0,73.0,186.0,199.0,77.0,9285.529381309863,9277.227722772277,9172.965762561138,9397.152378067252,8629.893238434164,14.6,9.3,30.8,10.04,2021,,
25.,KETSIA JACQUET,LES TRITONS MELDOIS,0 days 01:02:39,0 days 00:16:51,00:00:45,0 days 00:36:28,0 days 00:54:03,,0 days 00:08:36,,,chateauroux,D1F,172.0,74.0,125.0,141.0,31.0,9542.43149773876,9268.05143422354,9428.702010968922,9565.217391304348,9399.22480620155,14.8,6.25,12.4,6.25,2021,,
26.,MANON COSTE,MONTLUCON TRIATHLON,0 days 01:02:41,0 days 00:16:50,00:00:49,0 days 00:36:25,0 days 00:54:03,,0 days 00:08:38,,,chateauroux,D1F,174.0,73.0,122.0,141.0,33.0,9537.357085881415,9277.227722772277,9441.647597254005,9565.217391304348,9362.934362934364,14.6,6.1,13.2,6.33,2021,,
27.,MAELLE PORCHER,ASPTT 36 SPORTS NATURE,0 days 01:02:25,0 days 00:16:53,00:00:47,0 days 00:36:26,0 days 00:54:05,,0 days 00:08:20,U23,,chateauroux,D1F,158.0,76.0,123.0,143.0,15.0,9578.104138851802,9249.753208292203,9437.32845379689,9559.322033898305,9700.0,15.2,6.15,6.0,5.75,2021,,
28.,NAOMIE ANN EATON,TRI VAL DE GRAY,0 days 01:02:44,0 days 00:16:55,00:00:55,0 days 00:36:18,0 days 00:54:07,,0 days 00:08:37,,,chateauroux,D1F,177.0,78.0,115.0,145.0,32.0,9529.755579171095,9231.52709359606,9471.992653810836,9553.433939020635,9381.044487427465,15.6,5.75,12.8,6.44,2021,,
29.,JULIE DESFONTAINES,LYS CALAIS TRIATHLON,0 days 01:02:42,0 days 00:17:25,00:00:49,0 days 00:35:48,0 days 00:54:01,,0 days 00:08:41,U23,,chateauroux,D1F,175.0,108.0,85.0,139.0,36.0,9534.821903242955,8966.507177033493,9604.283054003723,9571.12002468374,9309.021113243762,21.6,4.25,14.4,6.36,2021,,
30.,JUSTINE LAVAUX,LA GRANDE MOTTE TRIATHLON,0 days 01:02:55,0 days 00:17:37,00:00:54,0 days 00:35:31,0 days 00:54:01,,0 days 00:08:54,U23,,chateauroux,D1F,188.0,120.0,68.0,139.0,49.0,9501.986754966889,8864.711447492904,9680.90098545284,9571.12002468374,9082.397003745318,24.0,3.4,19.6,6.84,2021,,
31.,FANNY MUDES,COTE D OPALE TRIATHLON CALAIS SAINT-OMER,0 days 01:02:56,0 days 00:17:25,00:00:48,0 days 00:35:54,0 days 00:54:06,,0 days 00:08:50,,,chateauroux,D1F,189.0,108.0,91.0,144.0,45.0,9499.47033898305,8966.507177033493,9577.53017641597,9556.37707948244,9150.943396226416,21.6,4.55,18.0,6.87,2021,,
32.,CELIE LESNARD,RENNES TRIATHLON,0 days 01:03:11,0 days 00:17:26,00:00:47,0 days 00:35:52,0 days 00:54:04,,0 days 00:09:07,,,chateauroux,D1F,204.0,109.0,89.0,142.0,62.0,9461.883408071748,8957.934990439771,9586.431226765799,9562.268803945746,8866.54478976234,21.8,4.45,24.8,7.42,2021,,
33.,CLARA BURNET,US PALAISEAU TRIATHLON,0 days 01:02:35,0 days 00:17:43,00:00:45,0 days 00:35:31,0 days 00:53:59,,0 days 00:08:36,U23,,chateauroux,D1F,168.0,126.0,68.0,137.0,31.0,9552.596537949401,8814.675446848541,9680.90098545284,9577.029947514664,9399.22480620155,25.2,3.4,12.4,6.11,2021,,
34.,MAELA MOISON,PONTIVY TRIATHLON,0 days 01:03:34,0 days 00:17:33,00:00:46,0 days 00:35:45,0 days 00:54:03,,0 days 00:09:31,U23,,chateauroux,D1F,227.0,116.0,82.0,141.0,86.0,9404.824331410593,8898.385565052231,9617.715617715618,9565.217391304348,8493.870402802102,23.2,4.1,34.4,8.25,2021,,
35.,VALERIE GALLAND,ASPTT 36 SPORTS NATURE,0 days 01:10:23,0 days 00:17:20,00:01:06,0 days 00:37:54,0 days 00:56:19,,0 days 00:14:04,,,chateauroux,D1F,636.0,103.0,211.0,277.0,359.0,8493.961638645513,9009.615384615385,9072.11961301671,9180.230837525896,5746.445497630331,20.6,10.55,143.6,23.13,2021,,
36.,MATHILDE LEDUC,STADE FRANCAIS,0 days 01:04:29,0 days 00:17:39,00:00:48,0 days 00:36:39,0 days 00:55:05,,0 days 00:09:24,,,chateauroux,D1F,282.0,122.0,136.0,203.0,79.0,9271.129490824502,8847.969782813976,9381.537062301046,9385.779122541604,8599.290780141844,24.4,6.8,31.6,10.25,2021,,
37.,STEPHANIE LE BESQ,TRIATHLON CLUB MONTREUILLOIS,0 days 01:02:53,0 days 00:17:25,00:00:43,0 days 00:35:58,0 days 00:54:04,,0 days 00:08:49,,,chateauroux,D1F,186.0,108.0,95.0,142.0,44.0,9507.023588656242,8966.507177033493,9559.777571825765,9562.268803945746,9168.241965973535,21.6,4.75,17.6,6.76,2021,,
38.,FLORE MAGNARD,STADE FRANCAIS,0 days 01:04:18,0 days 00:17:21,00:00:56,0 days 00:36:53,0 days 00:55:09,,0 days 00:09:09,,,chateauroux,D1F,271.0,104.0,150.0,207.0,64.0,9297.56350440643,9000.960614793466,9322.187076366923,9374.433363553944,8834.24408014572,20.8,7.5,25.6,9.85,2021,,
39.,CONSTANCE DOOZE,COTE D OPALE TRIATHLON CALAIS SAINT-OMER,0 days 01:03:00,0 days 00:17:25,00:00:47,0 days 00:35:49,0 days 00:54:00,,0 days 00:09:00,,,chateauroux,D1F,193.0,108.0,86.0,138.0,55.0,9489.41798941799,8966.507177033493,9599.813866914843,9574.074074074073,8981.481481481482,21.6,4.3,22.0,7.02,2021,,
40.,ALICE TALEC,RENNES TRIATHLON,0 days 01:04:06,0 days 00:17:25,00:00:50,,0 days 00:55:05,,,,,chateauroux,D1F,259.0,108.0,,203.0,,9326.573062922518,8966.507177033493,,9385.779122541604,,21.6,,,9.42,2021,,
41.,PAULINE LE BRIZOUAL,TRI VAL DE GRAY,0 days 01:02:46,0 days 00:17:21,00:00:46,0 days 00:35:54,0 days 00:54:00,,0 days 00:08:46,,,chateauroux,D1F,179.0,104.0,91.0,138.0,41.0,9524.694636218801,9000.960614793466,9577.53017641597,9574.074074074073,9220.532319391636,20.8,4.55,16.4,6.51,2021,,
42.,LISA MELOT,RENNES TRIATHLON,0 days 01:04:33,0 days 00:17:37,00:00:53,0 days 00:36:36,0 days 00:55:05,,0 days 00:09:28,,,chateauroux,D1F,286.0,120.0,133.0,203.0,83.0,9261.554350632585,8864.711447492904,9394.353369763205,9385.779122541604,8538.732394366198,24.0,6.65,33.2,10.4,2021,,
43.,JENNIFER DELLOUX,TRIATHLON CLUB MONTREUILLOIS,0 days 01:08:08,0 days 00:17:05,00:01:05,0 days 00:40:58,0 days 00:59:08,,0 days 00:09:00,,,chateauroux,D1F,501.0,88.0,395.0,446.0,55.0,8774.461839530333,9141.463414634147,8393.00244100895,8742.953776775648,8981.481481481482,17.6,19.75,22.0,18.22,2021,,
44.,PAULINE LALET,PONTIVY TRIATHLON,0 days 01:03:17,0 days 00:17:36,00:00:43,0 days 00:35:42,0 days 00:54:00,,0 days 00:09:17,U23,,chateauroux,D1F,210.0,119.0,79.0,138.0,72.0,9446.931788253885,8873.10606060606,9631.185807656397,9574.074074074073,8707.360861759425,23.8,3.95,28.8,7.64,2021,,
45.,ALIX TEUPOOTAHITI,US PALAISEAU TRIATHLON,0 days 01:04:30,0 days 00:17:57,00:00:56,0 days 00:36:12,0 days 00:55:03,,0 days 00:09:27,U23,*,chateauroux,D1F,283.0,140.0,109.0,201.0,82.0,9268.7338501292,8700.092850510679,9498.158379373848,9391.462306993642,8553.79188712522,28.0,5.45,32.8,10.29,2021,,
46.,FLORENCE CUCHEVAL,LYS CALAIS TRIATHLON,0 days 01:04:09,0 days 00:18:02,00:00:58,0 days 00:36:04,0 days 00:55:03,,0 days 00:09:06,,,chateauroux,D1F,262.0,145.0,101.0,201.0,61.0,9319.303715250715,8659.88909426987,9533.271719038818,9391.462306993642,8882.783882783882,29.0,5.05,24.4,9.53,2021,,
47.,AUBANE POUTRAIN,LYS CALAIS TRIATHLON,0 days 01:04:45,0 days 00:18:10,00:00:50,0 days 00:36:04,0 days 00:55:03,,0 days 00:09:42,U23,,chateauroux,D1F,298.0,153.0,101.0,201.0,97.0,9232.947232947234,8596.330275229358,9533.271719038818,9391.462306993642,8333.333333333334,30.6,5.05,38.8,10.84,2021,,
48.,JESSICA DEGAND,COTE D OPALE TRIATHLON CALAIS SAINT-OMER,0 days 01:07:08,0 days 00:18:30,00:00:51,0 days 00:37:23,0 days 00:56:42,,0 days 00:10:26,,,chateauroux,D1F,441.0,173.0,180.0,300.0,141.0,8905.163853028798,8441.441441441442,9197.503343736067,9118.165784832452,7747.6038338658145,34.6,9.0,56.4,16.04,2021,,
49.,CLAIRE HOFFBECK,ASPTT STRASBOURG TRI,0 days 01:04:23,0 days 00:18:10,00:00:51,0 days 00:36:04,0 days 00:55:04,,0 days 00:09:19,,,chateauroux,D1F,276.0,153.0,101.0,202.0,74.0,9285.529381309863,8596.330275229358,9533.271719038818,9388.61985472155,8676.207513416815,30.6,5.05,29.6,10.04,2021,,
50.,LOUNA MEURET,COTE D OPALE TRIATHLON CALAIS SAINT-OMER,0 days 01:04:34,0 days 00:18:14,00:00:46,0 days 00:36:03,0 days 00:55:02,,0 days 00:09:32,,,chateauroux,D1F,287.0,157.0,100.0,200.0,87.0,9259.16365513681,8564.89945155393,9537.679149329635,9394.306480920655,8479.02097902098,31.4,5.0,34.8,10.44,2021,,
51.,STEPHANIE FERNANDEZ,LA GRANDE MOTTE TRIATHLON,0 days 01:10:35,0 days 00:18:20,00:00:52,0 days 00:41:09,0 days 01:00:20,,0 days 00:10:15,,,chateauroux,D1F,648.0,163.0,406.0,518.0,130.0,8469.893742621016,8518.181818181818,8355.609558525719,8569.060773480664,7886.178861788618,32.6,20.3,52.0,23.56,2021,,
52.,JUDYTH LEVEQUE,ASPTT STRASBOURG TRI,0 days 01:04:15,0 days 00:18:10,00:00:53,0 days 00:36:02,0 days 00:55:04,,0 days 00:09:11,,,chateauroux,D1F,268.0,153.0,99.0,202.0,66.0,9304.79896238651,8596.330275229358,9542.09065679926,9388.61985472155,8802.177858439201,30.6,4.95,26.4,9.75,2021,,
53.,SERVANN PROT,PONTIVY TRIATHLON,0 days 01:06:58,0 days 00:18:29,00:00:48,0 days 00:37:27,0 days 00:56:43,,0 days 00:10:15,U23,,chateauroux,D1F,431.0,172.0,184.0,301.0,130.0,8927.327028372325,8449.053201082057,9181.130396083669,9115.486335586247,7886.178861788618,34.4,9.2,52.0,15.67,2021,,
54.,CHARLOTTE BERTHELOT,ASPTT STRASBOURG TRI,0 days 01:06:44,0 days 00:18:10,00:00:52,0 days 00:37:45,0 days 00:56:47,,0 days 00:09:57,,,chateauroux,D1F,417.0,153.0,202.0,305.0,112.0,8958.541458541458,8596.330275229358,9108.167770419426,9104.78426768418,8123.953098827471,30.6,10.1,44.8,15.16,2021,,
55.,ALINA PALCAU,MONTLUCON TRIATHLON,0 days 01:06:33,0 days 00:18:44,00:00:51,0 days 00:37:07,0 days 00:56:41,,0 days 00:09:52,U23,*,chateauroux,D1F,406.0,187.0,164.0,299.0,107.0,8983.220636113198,8336.298932384341,9263.583295913786,9120.846809761835,8192.567567567568,37.4,8.2,42.8,14.76,2021,,
56.,ANGELINA DAMOTA,TRIATHLON CLUB MONTREUILLOIS,0 days 01:08:46,0 days 00:18:32,00:00:45,0 days 00:39:47,0 days 00:59:02,,0 days 00:09:44,,,chateauroux,D1F,539.0,175.0,324.0,440.0,99.0,8693.65002423655,8426.258992805755,8642.647674905738,8757.76397515528,8304.794520547946,35.0,16.2,39.6,19.6,2021,,
57.,ALICE COLOIGNER,RENNES TRIATHLON,0 days 01:06:27,0 days 00:18:25,00:00:58,0 days 00:37:24,0 days 00:56:46,,0 days 00:09:41,U23,*,chateauroux,D1F,400.0,168.0,181.0,304.0,96.0,8996.739403059944,8479.638009049773,9193.404634581106,9107.457428068115,8347.676419965575,33.6,9.05,38.4,14.55,2021,,
58.,MARIE GEAN,US PALAISEAU TRIATHLON,0 days 01:09:22,0 days 00:19:08,00:01:12,0 days 00:38:47,0 days 00:59:07,,0 days 00:10:15,,,chateauroux,D1F,575.0,211.0,264.0,445.0,130.0,8618.452666987025,8162.020905923345,8865.492049849592,8745.41866365943,7886.178861788618,42.2,13.2,52.0,20.91,2021,,
1.,MARGAUX BONTANT,GRAVELINES TRIATHLON,0 days 01:01:30,0 days 00:16:33,00:00:40,0 days 00:35:48,0 days 00:53:00,,0 days 00:08:30,U23,,chateauroux,D2F,44.0,2.0,3.0,62.0,8.0,9880.758807588076,9979.859013091642,9986.033519553073,9805.031446540881,9843.13725490196,0.4,0.15,3.2,1.6,2021,,
2.,INES VAN DER LINDEN,EVREUX A.C. TRIATHLON,0 days 01:00:46,,00:00:45,,0 days 00:51:58,,,,,chateauroux,D2F,0.0,,,0.0,,10000.0,,,10000.0,,,,,0.0,2021,,
3.,AURELIA BOULANGER,RMA PARIS TRIATHLON,0 days 01:01:52,0 days 00:16:31,00:00:38,0 days 00:35:49,0 days 00:52:58,,0 days 00:08:54,,,chateauroux,D2F,66.0,0.0,4.0,60.0,32.0,9822.198275862069,10000.0,9981.386691484411,9811.202013845186,9400.749063670411,0.0,0.2,12.8,2.4,2021,,
4.,CAMILLE MONNIER,SAINT AVERTIN SPORTS TRIATHLON 37,0 days 01:01:21,0 days 00:16:33,00:00:39,0 days 00:35:48,0 days 00:52:59,,0 days 00:08:22,,,chateauroux,D2F,35.0,2.0,3.0,61.0,0.0,9904.917142080956,9979.859013091642,9986.033519553073,9808.115759672854,10000.0,0.4,0.15,0.0,1.27,2021,,
5.,IZIA DUTERRAGE,SAINT AVERTIN SPORTS TRIATHLON 37,0 days 01:04:24,0 days 00:17:39,00:00:46,0 days 00:37:04,0 days 00:55:27,,0 days 00:08:57,,,chateauroux,D2F,218.0,68.0,79.0,209.0,35.0,9435.817805383023,9357.884796978282,9644.784172661872,9371.80643222122,9348.230912476723,13.6,3.95,14.0,7.93,2021,,
6.,JULIETTE GABANELLE,EVREUX A.C. TRIATHLON,0 days 01:04:17,0 days 00:17:24,00:00:45,0 days 00:37:18,0 days 00:55:25,,0 days 00:08:52,,,chateauroux,D2F,211.0,53.0,93.0,207.0,30.0,9452.94270158154,9492.337164750958,9584.450402144772,9377.443609022557,9436.09022556391,10.6,4.65,12.0,7.67,2021,,
7.,LOU LENOBLE,GRAVELINES TRIATHLON,0 days 01:05:23,0 days 00:17:39,00:00:41,0 days 00:37:31,0 days 00:55:50,,0 days 00:09:33,U23,,chateauroux,D2F,277.0,68.0,106.0,232.0,71.0,9293.907723680857,9357.884796978282,9529.098178587294,9307.462686567163,8760.907504363002,13.6,5.3,28.4,10.07,2021,,
8.,CECILE PLAQUIN,CLERMONT TRIATHLON,0 days 01:05:01,0 days 00:17:35,00:00:42,0 days 00:37:46,0 days 00:56:02,,0 days 00:08:59,,,chateauroux,D2F,255.0,64.0,121.0,244.0,37.0,9346.321456036914,9393.364928909952,9466.019417475729,9274.241522903034,9313.543599257886,12.8,6.05,14.8,9.27,2021,,
9.,MARION VIET,LE MANS TRIATHLON,0 days 01:05:35,0 days 00:18:11,00:00:50,0 days 00:36:48,0 days 00:55:48,,0 days 00:09:47,U23,,chateauroux,D2F,289.0,100.0,63.0,230.0,85.0,9265.565438373571,9083.409715857011,9714.673913043478,9313.022700119474,8551.959114139694,20.0,3.15,34.0,10.51,2021,,
10.,CLARA GILLODTS,GRAVELINES TRIATHLON,0 days 01:04:55,0 days 00:17:44,00:00:47,0 days 00:37:17,0 days 00:55:47,,0 days 00:09:08,,,chateauroux,D2F,249.0,73.0,92.0,229.0,46.0,9360.718870346598,9313.90977443609,9588.734912829683,9315.80519868539,9160.58394160584,14.6,4.6,18.4,9.05,2021,,
11.,MATHILDE TERRASSON,SAINT AVERTIN SPORTS TRIATHLON 37,0 days 01:03:48,0 days 00:17:45,00:00:47,0 days 00:35:45,0 days 00:54:16,,0 days 00:09:32,,,chateauroux,D2F,182.0,74.0,0.0,138.0,70.0,9524.555903866249,9305.164319248826,10000.0,9576.167076167076,8776.223776223776,14.8,0.0,28.0,6.62,2021,,
12.,CHARLOTTE PERRIN,METROPOLE GRAND NANCY TRIATHLON,0 days 01:06:50,0 days 00:18:17,00:01:01,0 days 00:37:55,0 days 00:57:12,,0 days 00:09:38,U23,,chateauroux,D2F,364.0,106.0,130.0,314.0,76.0,9092.269326683292,9033.72835004558,9428.571428571428,9085.081585081585,8685.121107266436,21.2,6.5,30.4,13.24,2021,,
13.,LAURA BONTEMPS,METROPOLE GRAND NANCY TRIATHLON,0 days 01:05:03,0 days 00:17:40,00:00:42,0 days 00:37:27,0 days 00:55:48,,0 days 00:09:15,U23,,chateauroux,D2F,257.0,69.0,102.0,230.0,53.0,9341.532154752755,9349.056603773584,9546.061415220294,9313.022700119474,9045.045045045044,13.8,5.1,21.2,9.35,2021,,
14.,ALICE FOUGERE,SAINTES TRIATHLON,0 days 01:06:27,0 days 00:17:54,00:00:50,0 days 00:38:28,0 days 00:57:11,,0 days 00:09:16,,,chateauroux,D2F,341.0,83.0,163.0,313.0,54.0,9144.720341108603,9227.188081936685,9293.760831889082,9087.729524919849,9028.776978417267,16.6,8.15,21.6,12.4,2021,,
15.,LAURA HARVEY,LE MANS TRIATHLON,0 days 01:06:45,0 days 00:18:18,00:01:01,0 days 00:37:50,0 days 00:57:09,,0 days 00:09:36,,,chateauroux,D2F,359.0,107.0,125.0,311.0,74.0,9103.620474406991,9025.500910746812,9449.339207048459,9093.030037911927,8715.277777777777,21.4,6.25,29.6,13.05,2021,,
16.,MARINE ECHEVIN,SAINT AVERTIN SPORTS TRIATHLON 37,0 days 01:04:49,0 days 00:18:11,00:00:45,0 days 00:36:51,0 days 00:55:46,,0 days 00:09:03,,,chateauroux,D2F,243.0,100.0,66.0,228.0,41.0,9375.16070969401,9083.409715857011,9701.492537313434,9318.589360430366,9244.935543278085,20.0,3.3,16.4,8.84,2021,,
